SERVICE_CHANGE_NUM,CHANGE_NUM,STOP_ID,STOP_SEQUENCE_NUM,DAY_PART_CD,SERVICE_RTE_NUM,EXPRESS_LOCAL_CD,INBD_OUTBD_CD,HOST_STREET_NM,CROSS_STREET_NM,STOP_PLACEMENT_CD,TRIP_COMPASS_DIR_CD,JURISDICTION_CD,OBSERVED_TRIPS_IDS,TOTAL_OBSERVATIONS,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
241,156,2100,9,AM,1,L,I,Olympic Way W,W Lee St,FS,S,SEA,12,1301,0.2,2.5,0,0,6.1
241,156,2100,9,MID,1,L,I,Olympic Way W,W Lee St,FS,S,SEA,24,2609,0.2,3.8,0,0,3.3
241,156,2100,9,PM,1,L,I,Olympic Way W,W Lee St,FS,S,SEA,18,1965,0.1,1.5,0,0,2.7
241,156,2100,9,XEV,1,L,I,Olympic Way W,W Lee St,FS,S,SEA,7,760,0,0.2,0,0,1.8
241,156,2100,9,XNT,1,L,I,Olympic Way W,W Lee St,FS,S,SEA,6,658,0,0,0,0,1.1
241,156,2110,10,AM,1,L,I,Olympic Way W,9th Ave W,FS,S,SEA,12,1301,0.2,2.7,0,0,6.4
241,156,2110,10,MID,1,L,I,Olympic Way W,9th Ave W,FS,S,SEA,24,2609,0.2,3.7,0,0,3.4
241,156,2110,10,PM,1,L,I,Olympic Way W,9th Ave W,FS,S,SEA,18,1965,0.1,2.2,0,0,2.9
241,156,2110,10,XEV,1,L,I,Olympic Way W,9th Ave W,FS,S,SEA,7,760,0.1,0.8,0,0,1.9
241,156,2110,10,XNT,1,L,I,Olympic Way W,9th Ave W,FS,S,SEA,6,658,0,0,0,0,1.1
241,156,2120,11,AM,1,L,I,W Olympic Pl,7th Ave W,FS,S,SEA,12,1301,0.7,8.7,0,0,7.1
241,156,2120,11,MID,1,L,I,W Olympic Pl,7th Ave W,FS,S,SEA,24,2609,0.4,9.6,0,0,3.8
241,156,2120,11,PM,1,L,I,W Olympic Pl,7th Ave W,FS,S,SEA,18,1965,0.3,5.2,0,0.1,3.1
241,156,2120,11,XEV,1,L,I,W Olympic Pl,7th Ave W,FS,S,SEA,7,760,0.2,1.3,0,0,2.1
241,156,2120,11,XNT,1,L,I,W Olympic Pl,7th Ave W,FS,S,SEA,6,658,0.1,0.3,0,0,1.2
241,156,2130,12,AM,1,L,I,W Olympic Pl,5th Ave W,NS,S,SEA,12,1301,0.3,3.9,0,0,7.4
241,156,2130,12,MID,1,L,I,W Olympic Pl,5th Ave W,NS,S,SEA,24,2609,0.2,5.8,0,0,4.1
241,156,2130,12,PM,1,L,I,W Olympic Pl,5th Ave W,NS,S,SEA,18,1965,0.1,2.4,0,0,3.3
241,156,2130,12,XEV,1,L,I,W Olympic Pl,5th Ave W,NS,S,SEA,7,760,0.1,0.4,0,0,2.1
241,156,2130,12,XNT,1,L,I,W Olympic Pl,5th Ave W,NS,S,SEA,6,658,0,0,0,0,1.2
241,156,2140,13,AM,1,L,I,W Olympic Pl,3rd Ave W,FS,S,SEA,12,1301,1.4,16.2,0,0.3,8.8
241,156,2140,13,MID,1,L,I,W Olympic Pl,3rd Ave W,FS,S,SEA,24,2608,0.7,17,0,1,4.7
241,156,2140,13,PM,1,L,I,W Olympic Pl,3rd Ave W,FS,S,SEA,18,1965,0.6,11,0,0.3,3.8
