SERVICE_CHANGE_NUM,CHANGE_NUM,STOP_ID,STOP_SEQUENCE_NUM,DAY_PART_CD,SERVICE_RTE_NUM,EXPRESS_LOCAL_CD,INBD_OUTBD_CD,HOST_STREET_NM,CROSS_STREET_NM,STOP_PLACEMENT_CD,TRIP_COMPASS_DIR_CD,JURISDICTION_CD,OBSERVED_TRIPS_IDS,TOTAL_OBSERVATIONS,AVG_TRIP_BOARDINGS,AVG_TOTAL_BOARDINGS,AVG_TRIP_ALIGHTINGS,AVG_TOTAL_ALIGHTINGS,AVG_TRIP_DEPARTING_LOAD
253,159,2010,1,AM,1,L,I,10th Ave W,W Armour St,NS,S,SEA,13,1461,0.8,10.1,0,0,0.8
253,159,2020,2,AM,1,L,I,10th Ave W,W Bothwell St,FS,S,SEA,13,1459,0.3,3.3,0.1,1,0.9
253,159,2030,3,AM,1,L,I,10th Ave W,W Halladay St,FS,S,SEA,13,1461,0.2,2.9,0.1,0.7,1.1
253,159,2050,4,AM,1,L,I,10th Ave W,W McGraw St,FS,S,SEA,13,1460,0.4,5.1,0,0.1,1.5
253,159,2060,5,AM,1,L,I,10th Ave W,W Crockett St,FS,S,SEA,13,1462,0.4,5,0,0.1,1.8
253,159,2070,6,AM,1,L,I,10th Ave W,W Howe St,FS,S,SEA,13,1461,1.4,18.7,0.1,0.7,3.2
253,159,2080,7,AM,1,L,I,10th Ave W,W Blaine St,FS,S,SEA,13,1462,0.2,2.8,0,0,3.4
253,159,2090,8,AM,1,L,I,10th Ave W,W Galer St,NS,S,SEA,12,1338,0.2,2.4,0,0,3.6
253,159,2100,9,AM,1,L,I,Olympic Way W,W Lee St,FS,S,SEA,12,1338,0.2,2.7,0,0,3.8
253,159,2110,10,AM,1,L,I,Olympic Way W,9th Ave W,FS,S,SEA,12,1338,0.3,3.9,0,0,4.1
253,159,2120,11,AM,1,L,I,W Olympic Pl,7th Ave W,FS,S,SEA,12,1338,0.6,6.7,0,0.3,4.7
253,159,2130,12,AM,1,L,I,W Olympic Pl,5th Ave W,NS,S,SEA,12,1338,0.3,3.5,0,0.1,5
253,159,2140,13,AM,1,L,I,W Olympic Pl,3rd Ave W,FS,S,SEA,12,1338,0.9,10.7,0,0.5,5.8
253,159,2150,14,AM,1,L,I,W Roy St,2nd Ave W,FS,S,SEA,12,1337,0.7,8.8,0.3,3.4,6.2
253,159,2672,15,AM,1,L,I,Queen Anne Ave N,W Mercer St,FS,S,SEA,12,1338,1.7,19.8,4,47.5,4
253,159,2180,16,AM,1,L,I,Queen Anne Ave N,W Harrison St,FS,S,SEA,12,1338,0.5,5.7,0.5,6.1,3.9
253,159,2200,17,AM,1,L,I,Queen Anne Ave N,W John St,FM,S,SEA,12,1338,0.6,6.6,1.1,12.6,3.4
253,159,2244,18,AM,1,L,I,Denny Way,2nd Ave,FS,S,SEA,12,1337,0.4,5,0.9,10.6,2.9
253,159,2220,19,AM,1,L,I,3rd Ave,Cedar St,FS,S,SEA,12,1338,0,0,2.9,35.3,0
253,159,3600,1,AM,1,L,O,S Jackson St,12th Ave S,FS,N,SEA,13,1780,3.4,43.9,0,0,3.4
253,159,1500,2,AM,1,L,O,S Jackson St,8th Ave S,NS,N,SEA,13,1774,0.8,10,0.2,2.8,3.9
253,159,1510,3,AM,1,L,O,S Jackson St,Maynard Ave S,FS,N,SEA,13,1781,1.1,14.4,0.6,7.5,4.5
253,159,1530,4,AM,1,L,O,S Jackson St,5th Ave S,FS,N,SEA,16,2161,3.4,53.8,2.2,34.9,4.8
253,159,1610,5,AM,1,L,O,Prefontaine Pl S,Yesler Way,NS,N,SEA,16,2166,1.2,18.8,1,15.7,5
253,159,538,6,AM,1,L,O,3rd Ave,Columbia St,NS,N,SEA,16,2170,0.8,12,1.3,20.3,4.5
253,159,558,7,AM,1,L,O,3rd Ave,Seneca St,NS,N,SEA,15,2031,1.8,27.5,1.4,21.4,4.7
253,159,575,8,AM,1,L,O,3rd Ave,Pike St,NS,N,SEA,15,2030,2,30.6,1.6,24.6,5.1
253,159,600,9,AM,1,L,O,3rd Ave,Virginia St,FS,N,SEA,15,2029,1.4,20.7,1.4,20.8,5.1
253,159,605,10,AM,1,L,O,3rd Ave,Bell St,FS,N,SEA,15,2029,0.6,8.5,0.8,12.3,4.9
253,159,1690,11,AM,1,L,O,3rd Ave,Vine St,FS,N,SEA,15,2031,0.2,3,1.2,18.3,3.8
253,159,2320,12,AM,1,L,O,1st Ave,Broad St,FS,N,SEA,15,2032,0.1,1,0.6,8.3,3.4
253,159,2330,13,AM,1,L,O,1st Ave N,Denny Way,FS,N,SEA,15,2031,0.6,9.2,1.3,20.1,2.6
253,159,2360,14,AM,1,L,O,1st Ave N,Republican St,NS,N,SEA,14,1894,0.2,2.2,1.2,17.4,1.5
253,159,2370,15,AM,1,L,O,Mercer St,Queen Anne Ave N,NS,N,SEA,14,1892,0.2,2.1,0.6,8.5,1
253,159,2390,16,AM,1,L,O,2nd Ave W,W Roy St,FS,N,SEA,14,1895,0.1,0.7,0.1,1.7,1
253,159,2400,17,AM,1,L,O,W Olympic Pl,3rd Ave W,NS,N,SEA,14,1895,0,0.6,0,0.4,1
