Estimates of Group Quarter Population for Census Tracts,,,,,,,,,,,,,,,,,,,,,,,,
"Washington State Office of Financial Management, Small Area Estimate Program (SAEP)",,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,
By using these data the user agrees that the Washington State Office of Financial Management shall not be liable for any activity involving these data with regard to lost profits,,,,,,,,,,,,,,,,,,,,,,,,
"or savings or any other consequential damages; or the fitness for use of the data for a particular purpose; or the installation of the data, its use, or the results obtained.",,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates are approximations, use these data with caution. The estimates in these tables are typically presented for very small areas. To increase statistical stability,",,,,,,,,,,,,,,,,,,,,,,,,
"we recommend that users aggregate small area populations into larger geographic units of about 4,300 people, the size of the average census tract. Some changes",,,,,,,,,,,,,,,,,,,,,,,,
to the 2020 census data were made to ensure reliability. This table includes the 2020 census data from the Public Law 94-171 and OFM’s adjusted 2020 figures,,,,,,,,,,,,,,,,,,,,,,,,
so users can compare the values. All estimates are based on OFM adjusted figures. See the SAEP User Guide for more information.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
County Name,State Code FIPS,County Code FIPS,Census Tract Code,Census Tract Code Complete,SAEP Version,Estimated Group Quarters Population 2010,Estimated Group Quarters Population 2011,Estimated Group Quarters Population 2012,Estimated Group Quarters Population 2013,Estimated Group Quarters Population 2014,Estimated Group Quarters Population 2015,Estimated Group Quarters Population 2016,Estimated Group Quarters Population 2017,Estimated Group Quarters Population 2018,Estimated Group Quarters Population 2019,2020 Census (P.L. 94-171) Group Quarters Population,OFM Adjusted Group Quarter Population 2020,Estimated Group Quarter Population 2021,Estimated Group Quarter Population 2022,Estimated Group Quarter Population 2023,Estimated Group Quarter Population 2024,Estimated Group Quarter Population 2025,Numeric Change in Group Quarters Population 2020 to 2025,Percent Change in GQ Population 2020 to 2025
King,53,033,006400,53033006400,"October 3, 2025",20,20,21,21,22,21,22,22,22,22,22,22,22,22,22,21,22,0,-1.09%
King,53,033,006500,53033006500,"October 3, 2025",7,8,8,9,10,10,11,11,12,13,13,13,13,13,13,13,13,0,-1.09%
King,53,033,006600,53033006600,"October 3, 2025",290,266,243,219,192,161,135,108,81,55,27,27,27,27,27,26,27,0,-1.09%
King,53,033,006701,53033006701,"October 3, 2025",0,1,2,3,4,5,6,6,7,8,9,9,9,9,9,9,9,0,-1.09%
King,53,033,006702,53033006702,"October 3, 2025",39,36,34,31,41,40,40,40,40,66,79,79,71,72,75,29,30,-49,-62.44%
King,53,033,006703,53033006703,"October 3, 2025",74,68,62,56,49,41,34,27,20,13,6,6,6,6,6,6,6,0,-1.08%
King,53,033,006800,53033006800,"October 3, 2025",0,1,3,4,6,7,9,10,11,13,14,14,14,14,14,13,14,0,-1.09%
King,53,033,006900,53033006900,"October 3, 2025",19,17,16,14,12,10,8,6,4,2,0,0,0,0,0,0,0,0,0.00%
King,53,033,007001,53033007001,"October 3, 2025",49,66,83,100,118,118,102,88,181,198,209,209,207,208,207,202,207,-2,-1.09%
King,53,033,007002,53033007002,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,224,224,222,222,222,216,222,-2,-1.09%
King,53,033,007101,53033007101,"October 3, 2025",248,239,232,223,213,196,186,175,164,154,288,288,285,286,285,278,285,-3,-1.09%
King,53,033,007102,53033007102,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
King,53,033,007201,53033007201,"October 3, 2025",0,0,1,1,0,62,2,2,2,3,3,3,3,3,3,3,3,0,-1.10%
King,53,033,007202,53033007202,"October 3, 2025",396,431,449,303,261,313,77,71,65,59,153,153,152,152,152,148,151,-2,-1.09%
King,53,033,007203,53033007203,"October 3, 2025",30,27,25,21,16,15,12,13,10,8,102,102,101,101,101,98,101,-1,-1.09%
King,53,033,007301,53033007301,"October 3, 2025",128,137,147,156,165,168,177,185,117,116,111,111,110,110,110,107,110,-1,-1.09%
King,53,033,007302,53033007302,"October 3, 2025",233,224,216,207,196,180,480,456,450,428,387,387,286,361,379,408,407,20,5.04%
King,53,033,007303,53033007303,"October 3, 2025",72,100,129,158,186,209,237,265,293,347,365,365,362,362,362,352,361,-4,-1.09%
King,53,033,007403,53033007403,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
King,53,033,007404,53033007404,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
King,53,033,007405,53033007405,"October 3, 2025",149,135,122,108,93,75,61,46,30,15,0,0,0,0,0,0,0,0,0.00%
King,53,033,007406,53033007406,"October 3, 2025",0,2,3,5,7,8,10,11,13,15,16,16,16,16,16,15,16,0,-1.09%
King,53,033,007501,53033007501,"October 3, 2025",0,1,2,2,3,4,5,6,7,7,8,8,8,8,8,8,8,0,-1.09%
King,53,033,007502,53033007502,"October 3, 2025",148,142,136,130,123,112,105,98,90,83,113,113,112,112,112,109,112,-1,-1.09%
King,53,033,007503,53033007503,"October 3, 2025",0,1,1,2,2,3,3,4,4,5,5,5,5,5,5,5,5,0,-1.10%
King,53,033,007600,53033007600,"October 3, 2025",69,80,82,92,99,107,114,97,104,112,116,116,115,115,115,112,115,-1,-1.09%
King,53,033,007700,53033007700,"October 3, 2025",24,27,30,33,36,38,40,43,46,49,50,50,50,50,50,48,49,-1,-1.09%
King,53,033,007800,53033007800,"October 3, 2025",48,44,39,35,30,24,20,15,10,5,0,0,0,0,0,0,0,0,0.00%
King,53,033,007901,53033007901,"October 3, 2025",134,130,127,122,117,109,104,99,94,89,81,81,80,80,80,78,80,-1,-1.09%
King,53,033,007902,53033007902,"October 3, 2025",33,31,29,27,25,22,20,31,22,18,10,10,10,10,10,10,10,0,-1.09%
King,53,033,008002,53033008002,"October 3, 2025",404,415,430,454,460,297,336,338,349,317,316,316,313,314,313,305,313,-3,-1.09%
King,53,033,008003,53033008003,"October 3, 2025",0,10,21,31,42,112,123,111,106,93,108,108,107,107,107,104,107,-1,-1.09%
King,53,033,008004,53033008004,"October 3, 2025",219,198,175,150,124,94,89,67,45,22,0,0,0,0,0,0,0,0,0.00%
King,53,033,008101,53033008101,"October 3, 2025",145,136,97,91,85,76,70,63,56,50,51,51,51,51,51,49,50,-1,-1.09%
King,53,033,008102,53033008102,"October 3, 2025",552,563,560,570,576,568,566,564,569,565,643,643,579,583,599,582,619,-24,-3.71%
King,53,033,008200,53033008200,"October 3, 2025",168,209,253,296,338,370,412,453,494,537,575,575,570,571,570,554,569,-6,-1.09%
King,53,033,008300,53033008300,"October 3, 2025",116,123,132,140,147,150,157,164,171,178,184,184,182,183,182,177,182,-2,-1.09%
King,53,033,008401,53033008401,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
King,53,033,008402,53033008402,"October 3, 2025",74,74,74,74,73,70,69,68,67,67,64,64,63,64,63,62,63,-1,-1.09%
King,53,033,008500,53033008500,"October 3, 2025","1,927","1,869","1,816","1,756","1,682","1,569","1,500","1,421","1,345","1,272","1,169","1,169","1,132","1,142","1,144","1,113","1,112",-57,-4.90%
King,53,033,008600,53033008600,"October 3, 2025","1,734","1,872","1,869","1,921","2,527","2,434","2,550","2,523","2,542","2,584","2,540","2,540","1,388","2,402","2,387","2,276","2,354",-186,-7.32%
King,53,033,008700,53033008700,"October 3, 2025",101,92,83,74,64,52,42,32,22,45,24,24,23,13,23,2,34,10,40.12%
King,53,033,008800,53033008800,"October 3, 2025",19,20,21,22,23,23,24,25,26,27,27,27,27,27,27,26,27,0,-1.09%
King,53,033,008900,53033008900,"October 3, 2025",176,133,148,149,150,146,147,148,148,149,145,145,144,144,144,140,143,-2,-1.09%
King,53,033,009000,53033009000,"October 3, 2025",191,189,189,187,184,176,173,170,167,164,193,193,191,192,191,186,191,-2,-1.09%
King,53,033,009100,53033009100,"October 3, 2025",95,104,115,125,135,140,149,159,168,76,72,72,71,72,71,69,71,-1,-1.09%
King,53,033,009200,53033009200,"October 3, 2025",559,578,603,624,642,640,658,674,690,708,699,699,693,694,693,674,691,-8,-1.09%
King,53,033,009300,53033009300,"October 3, 2025",420,413,410,404,395,375,366,357,347,338,676,676,670,671,670,652,669,-7,-1.09%
King,53,033,009400,53033009400,"October 3, 2025",112,119,129,125,128,130,122,140,138,142,218,218,191,178,190,185,197,-21,-9.71%
King,53,033,009500,53033009500,"October 3, 2025",31,30,29,28,27,25,24,22,21,20,28,28,28,28,28,27,28,0,-1.09%
King,53,033,009600,53033009600,"October 3, 2025",116,121,127,133,138,138,143,148,152,157,157,157,156,156,156,151,155,-2,-1.09%
King,53,033,009701,53033009701,"October 3, 2025",15,16,17,19,20,20,21,22,24,25,25,25,25,25,25,24,25,0,-1.09%
King,53,033,009702,53033009702,"October 3, 2025",87,94,103,110,118,121,128,135,142,150,152,152,151,151,151,147,150,-2,-1.09%
King,53,033,009801,53033009801,"October 3, 2025",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,-1.08%
King,53,033,009802,53033009802,"October 3, 2025",5,5,4,4,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0.00%
King,53,033,009900,53033009900,"October 3, 2025",17,19,21,23,25,26,28,30,31,33,52,52,52,52,52,50,51,-1,-1.09%
King,53,033,010001,53033010001,"October 3, 2025",55,77,100,123,146,164,186,208,231,254,287,287,284,285,284,277,284,-3,-1.09%
King,53,033,010002,53033010002,"October 3, 2025",56,66,78,89,99,107,117,33,29,26,22,22,22,22,22,21,22,0,-1.09%
King,53,033,010101,53033010101,"October 3, 2025",136,142,150,156,162,163,169,175,180,186,186,186,184,185,184,179,184,-2,-1.09%
King,53,033,010102,53033010102,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
King,53,033,010200,53033010200,"October 3, 2025",21,19,17,15,13,11,9,6,4,2,0,0,0,0,0,0,0,0,0.00%
King,53,033,010301,53033010301,"October 3, 2025",205,199,194,188,181,168,161,154,146,139,127,127,126,126,126,122,126,-1,-1.09%
King,53,033,010302,53033010302,"October 3, 2025",20,25,30,34,39,43,47,52,56,61,64,64,63,64,63,62,63,-1,-1.09%
King,53,033,010401,53033010401,"October 3, 2025",61,61,60,60,59,57,56,55,54,53,51,51,51,51,51,49,50,-1,-1.09%
King,53,033,010402,53033010402,"October 3, 2025",34,36,39,41,43,44,46,48,49,52,57,57,56,57,57,55,56,-1,-1.09%
King,53,033,010501,53033010501,"October 3, 2025",272,265,259,252,243,226,218,208,199,190,175,175,173,174,173,169,173,-2,-1.09%
King,53,033,010502,53033010502,"October 3, 2025",0,6,12,19,25,30,37,43,49,56,60,60,59,60,59,58,59,-1,-1.09%
King,53,033,010601,53033010601,"October 3, 2025",0,2,3,5,6,8,9,11,12,14,15,15,15,15,15,14,15,0,-1.09%
King,53,033,010602,53033010602,"October 3, 2025",8,9,10,12,13,14,15,16,17,18,19,19,19,19,19,18,19,0,-1.09%
King,53,033,010701,53033010701,"October 3, 2025",53,58,65,70,76,79,85,90,95,101,103,103,102,102,102,99,102,-1,-1.09%
King,53,033,010702,53033010702,"October 3, 2025",5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,0,-1.09%
King,53,033,010800,53033010800,"October 3, 2025",13,14,15,17,18,18,19,20,21,23,41,41,41,41,41,40,41,0,-1.09%
King,53,033,010900,53033010900,"October 3, 2025",84,77,71,64,56,47,40,32,42,23,41,41,25,26,29,22,23,-18,-44.51%
King,53,033,011001,53033011001,"October 3, 2025",112,107,103,98,92,84,78,96,84,67,53,53,53,53,53,51,52,-1,-1.09%
King,53,033,011002,53033011002,"October 3, 2025",22,20,18,16,14,11,9,7,4,2,0,0,0,0,0,0,0,0,0.00%
King,53,033,011101,53033011101,"October 3, 2025",13,13,14,14,14,14,14,15,15,15,15,15,15,15,15,14,15,0,-1.09%
King,53,033,011102,53033011102,"October 3, 2025",175,173,173,172,170,162,160,157,154,152,145,145,144,144,144,140,143,-2,-1.09%
King,53,033,011200,53033011200,"October 3, 2025",98,98,99,100,100,97,97,97,96,96,93,93,92,92,92,90,92,-1,-1.09%
King,53,033,011300,53033011300,"October 3, 2025",18,20,21,23,25,25,27,28,30,31,65,65,64,65,64,63,64,-1,-1.09%
King,53,033,011401,53033011401,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
King,53,033,011402,53033011402,"October 3, 2025",0,2,4,7,9,11,13,15,17,19,21,21,21,21,21,20,21,0,-1.09%
King,53,033,011500,53033011500,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
King,53,033,011601,53033011601,"October 3, 2025",17,17,17,17,16,16,15,15,15,15,14,14,14,14,14,13,14,0,-1.09%
King,53,033,011602,53033011602,"October 3, 2025",86,83,81,79,76,70,67,64,61,58,53,53,53,53,53,51,52,-1,-1.09%
King,53,033,011700,53033011700,"October 3, 2025",56,52,49,45,41,35,31,27,23,19,14,14,14,14,14,13,55,41,295.64%
King,53,033,011801,53033011801,"October 3, 2025",17,15,14,12,11,9,7,5,3,2,0,0,0,0,0,43,53,53,0.00%
King,53,033,011802,53033011802,"October 3, 2025",85,77,70,62,53,43,35,26,17,9,0,0,0,0,0,0,0,0,0.00%
King,53,033,011901,53033011901,"October 3, 2025",24,26,28,30,31,32,34,35,37,39,39,39,39,39,39,38,39,0,-1.09%
King,53,033,011902,53033011902,"October 3, 2025",25,25,26,26,26,25,25,26,26,26,25,25,25,25,25,24,25,0,-1.09%
King,53,033,012000,53033012000,"October 3, 2025",0,1,1,2,2,3,3,4,4,5,5,5,5,5,5,5,5,0,-1.10%
King,53,033,012100,53033012100,"October 3, 2025",8,7,7,6,5,4,3,2,2,1,0,0,0,0,0,0,0,0,0.00%
King,53,033,020100,53033020100,"October 3, 2025",150,143,151,150,147,126,119,108,106,103,97,97,91,73,73,73,73,-24,-24.74%
King,53,033,020200,53033020200,"October 3, 2025",218,228,232,215,230,240,233,226,245,256,258,258,256,126,126,126,126,-132,-51.16%
King,53,033,020301,53033020301,"October 3, 2025",84,81,80,76,70,66,60,58,55,51,47,47,47,47,47,47,47,0,0.00%
King,53,033,020302,53033020302,"October 3, 2025",44,55,66,77,87,95,106,115,126,137,143,143,142,143,143,143,143,0,0.00%
King,53,033,020401,53033020401,"October 3, 2025",72,68,64,60,55,48,44,38,34,29,24,24,24,24,24,24,24,0,0.00%
King,53,033,020402,53033020402,"October 3, 2025",28,30,33,35,37,38,40,42,44,46,47,47,47,47,47,47,47,0,0.00%
King,53,033,020500,53033020500,"October 3, 2025",87,91,106,115,131,143,159,173,189,205,215,215,213,191,191,191,191,-24,-11.16%
King,53,033,020600,53033020600,"October 3, 2025",61,64,68,71,75,75,79,81,84,87,88,88,87,88,88,88,88,0,0.00%
King,53,033,020700,53033020700,"October 3, 2025",78,77,77,76,75,72,71,69,68,67,64,64,63,64,64,64,64,0,0.00%
King,53,033,020800,53033020800,"October 3, 2025",62,61,61,59,58,55,53,51,50,49,46,46,46,46,46,46,46,0,0.00%
King,53,033,020900,53033020900,"October 3, 2025",105,104,95,109,106,109,99,96,96,95,218,218,111,266,264,250,236,18,8.26%
King,53,033,021000,53033021000,"October 3, 2025",97,95,94,91,89,83,81,77,75,72,68,68,67,68,68,68,68,0,0.00%
King,53,033,021100,53033021100,"October 3, 2025",266,263,262,259,257,247,245,237,234,231,431,431,427,565,577,575,563,132,30.63%
King,53,033,021300,53033021300,"October 3, 2025",81,85,102,112,109,108,112,36,36,36,35,35,35,35,35,35,35,0,0.00%
King,53,033,021400,53033021400,"October 3, 2025",29,28,28,27,26,24,23,22,21,20,18,18,18,18,18,18,18,0,0.00%
King,53,033,021500,53033021500,"October 3, 2025",46,43,41,38,35,31,28,25,22,19,15,15,15,15,15,15,15,0,0.00%
King,53,033,021600,53033021600,"October 3, 2025",31,30,30,30,29,27,27,26,25,24,23,23,23,23,23,23,23,0,0.00%
King,53,033,021701,53033021701,"October 3, 2025",14,15,17,18,20,20,22,23,24,25,26,26,26,26,26,26,26,0,0.00%
King,53,033,021702,53033021702,"October 3, 2025",23,27,31,34,38,41,44,48,51,55,57,57,53,57,57,57,57,0,0.00%
King,53,033,021802,53033021802,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
King,53,033,021803,53033021803,"October 3, 2025",42,39,36,33,30,26,23,19,16,13,9,9,7,9,9,9,9,0,0.00%
King,53,033,021804,53033021804,"October 3, 2025",119,112,119,122,125,125,263,257,207,173,183,183,49,90,88,276,472,289,157.92%
King,53,033,021903,53033021903,"October 3, 2025",103,102,102,101,100,95,94,92,91,89,85,85,115,108,113,126,126,41,48.24%
King,53,033,021904,53033021904,"October 3, 2025",48,53,59,64,69,72,77,82,87,92,94,94,94,94,94,94,94,0,0.00%
King,53,033,021905,53033021905,"October 3, 2025",53,57,58,57,61,59,61,60,62,61,64,64,56,61,60,56,61,-3,-4.69%
King,53,033,021906,53033021906,"October 3, 2025",21,22,22,23,23,23,24,24,25,25,25,25,25,25,25,25,25,0,0.00%
King,53,033,022001,53033022001,"October 3, 2025",28,32,36,40,44,47,51,54,58,62,64,64,47,64,64,64,64,0,0.00%
King,53,033,022003,53033022003,"October 3, 2025",125,121,118,114,109,101,96,91,86,81,74,74,74,74,74,74,74,0,0.00%
King,53,033,022005,53033022005,"October 3, 2025",1,2,2,3,4,4,5,5,6,7,7,7,7,7,7,7,7,0,0.00%
King,53,033,022006,53033022006,"October 3, 2025",166,151,147,145,142,149,160,157,159,164,85,85,122,134,92,134,134,49,57.65%
King,53,033,022101,53033022101,"October 3, 2025",22,22,22,22,22,21,21,21,21,21,20,20,20,20,20,20,20,0,0.00%
King,53,033,022102,53033022102,"October 3, 2025",15,17,18,20,22,23,24,26,28,29,30,30,30,30,30,30,30,0,0.00%
King,53,033,022201,53033022201,"October 3, 2025",25,25,25,26,26,25,25,25,25,25,24,24,24,24,24,24,24,0,0.00%
King,53,033,022203,53033022203,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
King,53,033,022204,53033022204,"October 3, 2025",2,3,4,5,6,7,8,9,10,11,12,12,12,12,12,12,12,0,0.00%
King,53,033,022205,53033022205,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
King,53,033,022300,53033022300,"October 3, 2025",42,178,176,87,87,81,90,92,95,85,67,67,17,17,0,1,11,-56,-83.58%
King,53,033,022401,53033022401,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
King,53,033,022402,53033022402,"October 3, 2025",18,17,17,16,16,15,14,13,13,12,11,11,11,11,11,11,11,0,0.00%
King,53,033,022501,53033022501,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
King,53,033,022502,53033022502,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
King,53,033,022603,53033022603,"October 3, 2025",9,11,13,15,16,18,20,21,23,25,26,26,26,26,26,26,26,0,0.00%
King,53,033,022604,53033022604,"October 3, 2025",9,12,16,19,22,25,28,31,35,38,40,40,88,80,80,80,80,40,100.00%
King,53,033,022605,53033022605,"October 3, 2025",6,7,8,9,10,10,11,12,13,14,14,14,14,14,14,14,14,0,0.00%
King,53,033,022606,53033022606,"October 3, 2025",5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,0,0.00%
King,53,033,022701,53033022701,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,18,25,25,25,25,0.00%
King,53,033,022702,53033022702,"October 3, 2025",403,396,471,503,556,555,546,581,603,638,622,622,466,493,451,428,426,-196,-31.51%
King,53,033,022703,53033022703,"October 3, 2025",20,20,20,21,21,20,20,20,20,20,17,17,17,17,17,17,17,0,0.00%
King,53,033,022802,53033022802,"October 3, 2025",9,10,11,11,12,13,13,14,15,16,16,16,16,16,16,16,16,0,0.00%
King,53,033,022803,53033022803,"October 3, 2025",4,17,7,8,9,10,11,13,14,15,129,129,129,129,129,289,143,14,10.85%
King,53,033,022804,53033022804,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,0,0.00%
King,53,033,022805,53033022805,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
King,53,033,022901,53033022901,"October 3, 2025",92,96,101,102,104,106,106,105,79,99,64,64,58,61,56,56,56,-8,-12.50%
King,53,033,022902,53033022902,"October 3, 2025",20,21,22,23,25,25,26,27,28,29,29,29,29,29,29,29,29,0,0.00%
King,53,033,023000,53033023000,"October 3, 2025",53,53,54,55,55,54,54,54,54,54,53,53,53,53,53,53,53,0,0.00%
King,53,033,023100,53033023100,"October 3, 2025",96,95,96,95,94,90,89,88,87,86,82,82,82,82,82,82,82,0,0.00%
King,53,033,023201,53033023201,"October 3, 2025",12,12,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,0,0.00%
King,53,033,023202,53033023202,"October 3, 2025",104,109,115,121,126,127,132,137,142,147,147,147,147,147,147,147,147,0,0.00%
King,53,033,023300,53033023300,"October 3, 2025",79,78,78,77,75,72,71,69,68,66,63,63,63,63,63,63,63,0,0.00%
King,53,033,023401,53033023401,"October 3, 2025",50,56,63,69,76,80,86,92,98,350,307,307,184,327,399,555,566,259,84.36%
King,53,033,023403,53033023403,"October 3, 2025",74,71,68,65,62,57,53,50,46,43,38,38,38,38,38,38,38,0,0.00%
King,53,033,023404,53033023404,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
King,53,033,023500,53033023500,"October 3, 2025",14,15,16,16,17,17,18,19,19,20,20,20,20,20,20,20,20,0,0.00%
King,53,033,023601,53033023601,"October 3, 2025",131,135,146,165,182,192,204,213,224,217,63,63,63,82,88,89,87,24,38.10%
King,53,033,023603,53033023603,"October 3, 2025",8,8,7,7,6,6,5,5,4,4,3,3,3,32,32,32,32,29,966.67%
King,53,033,023604,53033023604,"October 3, 2025",36,42,49,56,63,67,74,80,87,93,97,97,97,97,97,97,97,0,0.00%
King,53,033,023701,53033023701,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
King,53,033,023702,53033023702,"October 3, 2025",13,12,11,9,8,7,5,4,3,1,2,2,2,2,2,2,2,0,0.00%
King,53,033,023801,53033023801,"October 3, 2025",0,1,1,2,2,3,4,4,5,6,6,6,6,6,6,6,6,0,0.00%
King,53,033,023805,53033023805,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
King,53,033,023806,53033023806,"October 3, 2025",50,48,72,84,91,87,82,81,93,103,111,111,133,126,127,127,105,-6,-5.41%
King,53,033,023807,53033023807,"October 3, 2025",11,15,19,23,27,30,34,38,42,65,81,81,81,79,81,81,72,-9,-11.11%
King,53,033,023808,53033023808,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
King,53,033,023901,53033023901,"October 3, 2025",100,90,86,76,70,60,56,47,40,34,21,21,24,23,24,26,27,6,28.57%
King,53,033,023902,53033023902,"October 3, 2025",0,1,1,2,3,4,4,5,6,6,7,7,7,7,7,7,7,0,0.00%
King,53,033,024001,53033024001,"October 3, 2025",0,5,10,15,20,24,29,34,38,43,47,47,47,47,47,47,47,0,0.00%
King,53,033,024002,53033024002,"October 3, 2025",27,25,22,20,17,14,11,8,6,3,0,0,0,0,0,0,0,0,0.00%
King,53,033,024100,53033024100,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
King,53,033,024200,53033024200,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
King,53,033,024301,53033024301,"October 3, 2025",43,54,65,77,88,53,64,74,85,96,106,106,106,106,106,106,104,-2,-1.89%
King,53,033,024302,53033024302,"October 3, 2025",11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
King,53,033,024400,53033024400,"October 3, 2025",0,2,5,7,10,12,14,16,19,21,23,23,23,23,23,23,23,0,0.00%
King,53,033,024500,53033024500,"October 3, 2025",7,9,11,14,16,10,12,14,16,19,21,21,21,21,21,21,21,0,0.00%
King,53,033,024601,53033024601,"October 3, 2025",4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
King,53,033,024602,53033024602,"October 3, 2025",3,4,6,7,9,7,8,10,11,13,14,14,14,14,14,14,14,0,0.00%
King,53,033,024701,53033024701,"October 3, 2025",29,29,30,31,31,30,31,31,31,32,31,31,31,31,31,31,31,0,0.00%
King,53,033,024703,53033024703,"October 3, 2025",20,21,22,23,24,24,25,26,27,28,28,28,28,28,28,28,28,0,0.00%
King,53,033,024704,53033024704,"October 3, 2025",68,68,68,68,67,65,64,64,63,62,60,60,60,60,60,60,60,0,0.00%
King,53,033,024800,53033024800,"October 3, 2025",38,39,40,40,41,40,41,41,41,42,41,41,41,41,41,41,41,0,0.00%
King,53,033,024901,53033024901,"October 3, 2025",14,14,13,13,12,12,11,11,10,10,9,9,9,9,9,9,9,0,0.00%
King,53,033,024902,53033024902,"October 3, 2025",36,36,35,35,34,32,32,31,30,30,28,28,28,28,28,28,28,0,0.00%
King,53,033,024904,53033024904,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
King,53,033,024905,53033024905,"October 3, 2025",8,7,7,6,5,4,3,2,2,1,0,0,0,0,0,0,0,0,0.00%
King,53,033,025001,53033025001,"October 3, 2025",62,60,58,56,54,50,48,45,43,41,37,37,37,37,37,37,37,0,0.00%
King,53,033,025005,53033025005,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
King,53,033,025006,53033025006,"October 3, 2025",0,6,13,20,27,32,39,46,52,59,64,64,64,64,64,64,52,-12,-18.75%
King,53,033,025007,53033025007,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
King,53,033,025008,53033025008,"October 3, 2025",14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,0,0.00%
King,53,033,025101,53033025101,"October 3, 2025",29,28,27,25,24,22,20,19,17,16,14,14,14,14,14,14,14,0,0.00%
King,53,033,025103,53033025103,"October 3, 2025",80,77,75,72,69,63,60,57,53,50,45,45,45,45,45,45,45,0,0.00%
King,53,033,025104,53033025104,"October 3, 2025",2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.00%
King,53,033,025201,53033025201,"October 3, 2025",33,36,38,41,43,45,47,49,52,54,55,55,55,55,55,55,55,0,0.00%
King,53,033,025202,53033025202,"October 3, 2025",27,26,25,25,23,22,21,20,19,18,16,16,16,16,16,16,16,0,0.00%
King,53,033,025302,53033025302,"October 3, 2025",48,46,44,41,39,35,32,29,27,24,42,42,42,42,42,42,42,0,0.00%
King,53,033,025303,53033025303,"October 3, 2025",4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,0,0.00%
King,53,033,025304,53033025304,"October 3, 2025",23,22,20,19,17,15,14,21,20,18,16,16,16,16,16,16,16,0,0.00%
King,53,033,025401,53033025401,"October 3, 2025",16,16,17,17,18,18,18,18,19,19,19,19,19,19,19,19,19,0,0.00%
King,53,033,025402,53033025402,"October 3, 2025",30,30,30,30,29,28,28,27,27,26,25,25,25,25,25,25,25,0,0.00%
King,53,033,025500,53033025500,"October 3, 2025",40,41,42,43,43,43,43,44,44,45,44,44,44,44,44,44,44,0,0.00%
