Estimates of Group Quarter Population for Census Tracts,,,,,,,,,,,,,,,,,,,,,,,,
"Washington State Office of Financial Management, Small Area Estimate Program (SAEP)",,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,
By using these data the user agrees that the Washington State Office of Financial Management shall not be liable for any activity involving these data with regard to lost profits,,,,,,,,,,,,,,,,,,,,,,,,
"or savings or any other consequential damages; or the fitness for use of the data for a particular purpose; or the installation of the data, its use, or the results obtained.",,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates are approximations, use these data with caution. The estimates in these tables are typically presented for very small areas. To increase statistical stability,",,,,,,,,,,,,,,,,,,,,,,,,
"we recommend that users aggregate small area populations into larger geographic units of about 4,300 people, the size of the average census tract. Some changes",,,,,,,,,,,,,,,,,,,,,,,,
to the 2020 census data were made to ensure reliability. This table includes the 2020 census data from the Public Law 94-171 and OFM’s adjusted 2020 figures,,,,,,,,,,,,,,,,,,,,,,,,
so users can compare the values. All estimates are based on OFM adjusted figures. See the SAEP User Guide for more information.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
County Name,State Code FIPS,County Code FIPS,Census Tract Code,Census Tract Code Complete,SAEP Version,Estimated Group Quarters Population 2010,Estimated Group Quarters Population 2011,Estimated Group Quarters Population 2012,Estimated Group Quarters Population 2013,Estimated Group Quarters Population 2014,Estimated Group Quarters Population 2015,Estimated Group Quarters Population 2016,Estimated Group Quarters Population 2017,Estimated Group Quarters Population 2018,Estimated Group Quarters Population 2019,2020 Census (P.L. 94-171) Group Quarters Population,OFM Adjusted Group Quarter Population 2020,Estimated Group Quarter Population 2021,Estimated Group Quarter Population 2022,Estimated Group Quarter Population 2023,Estimated Group Quarter Population 2024,Estimated Group Quarter Population 2025,Numeric Change in Group Quarters Population 2020 to 2025,Percent Change in GQ Population 2020 to 2025
Benton,53,005,010817,53005010817,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Benton,53,005,010818,53005010818,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Benton,53,005,010819,53005010819,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Benton,53,005,010820,53005010820,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Benton,53,005,010901,53005010901,"October 3, 2025",745,713,689,564,648,564,542,620,540,570,478,478,269,348,380,267,243,-235,-49.16%
Benton,53,005,010902,53005010902,"October 3, 2025",7,6,6,5,4,4,3,2,1,1,0,0,0,0,0,0,0,0,0.00%
Benton,53,005,011001,53005011001,"October 3, 2025",36,36,35,35,34,34,32,30,30,29,28,28,28,28,28,28,28,0,0.00%
Benton,53,005,011002,53005011002,"October 3, 2025",6,7,9,10,11,13,13,14,16,17,18,18,18,18,18,18,18,0,0.00%
Benton,53,005,011100,53005011100,"October 3, 2025",30,30,31,32,32,33,32,31,32,32,32,32,32,32,32,32,32,0,0.00%
Benton,53,005,011201,53005011201,"October 3, 2025",98,97,85,90,104,99,58,56,48,64,57,57,43,65,66,61,67,10,17.54%
Benton,53,005,011202,53005011202,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Benton,53,005,011300,53005011300,"October 3, 2025",42,42,42,40,45,45,45,44,44,44,53,53,33,27,34,34,34,-19,-35.85%
Benton,53,005,011401,53005011401,"October 3, 2025",6,7,8,9,10,11,11,12,13,13,14,14,14,14,14,14,14,0,0.00%
Benton,53,005,011402,53005011402,"October 3, 2025",20,18,16,15,12,11,8,6,4,2,0,0,0,0,0,0,0,0,0.00%
Benton,53,005,011501,53005011501,"October 3, 2025",5,6,7,7,8,9,9,10,11,11,12,12,12,12,12,12,12,0,0.00%
Benton,53,005,011504,53005011504,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Benton,53,005,011505,53005011505,"October 3, 2025",76,80,84,88,91,96,95,96,91,100,78,78,98,100,127,157,219,141,180.77%
Benton,53,005,011506,53005011506,"October 3, 2025",18,18,18,18,18,18,17,17,17,16,16,16,16,16,16,16,16,0,0.00%
Benton,53,005,011600,53005011600,"October 3, 2025",0,1,1,2,2,3,3,4,4,5,5,5,5,5,5,5,5,0,0.00%
Benton,53,005,011701,53005011701,"October 3, 2025",17,15,13,12,10,9,7,5,3,2,75,75,75,75,75,75,75,0,0.00%
Benton,53,005,011702,53005011702,"October 3, 2025",30,71,64,57,49,41,32,23,16,8,0,0,0,0,0,0,0,0,0.00%
Benton,53,005,011801,53005011801,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Benton,53,005,011802,53005011802,"October 3, 2025",0,4,8,12,15,20,23,26,30,33,37,37,37,37,37,37,37,0,0.00%
Benton,53,005,011900,53005011900,"October 3, 2025",0,1,2,2,3,4,5,6,6,7,8,8,8,8,8,8,8,0,0.00%
Benton,53,005,012000,53005012000,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Chelan,53,007,960100,53007960100,"October 3, 2025",6,8,10,13,15,17,19,22,24,27,27,27,27,27,27,27,27,0,0.00%
Chelan,53,007,960201,53007960201,"October 3, 2025",7,14,21,28,35,42,49,57,65,73,74,74,74,74,74,74,74,0,0.00%
Chelan,53,007,960202,53007960202,"October 3, 2025",7,6,6,5,4,4,3,2,1,1,0,0,0,0,0,0,0,0,0.00%
Chelan,53,007,960203,53007960203,"October 3, 2025",7,7,7,7,7,7,7,8,8,8,7,7,7,7,7,7,7,0,0.00%
Chelan,53,007,960301,53007960301,"October 3, 2025",0,6,11,17,23,28,34,41,47,54,55,55,55,55,55,55,55,0,0.00%
Chelan,53,007,960302,53007960302,"October 3, 2025",50,51,52,52,53,54,55,57,58,59,55,55,55,55,55,55,55,0,0.00%
Chelan,53,007,960303,53007960303,"October 3, 2025",32,34,32,36,49,42,35,0,0,0,0,0,0,0,0,0,0,0,0.00%
Chelan,53,007,960400,53007960400,"October 3, 2025",37,43,50,56,63,70,76,84,92,99,98,98,98,98,98,98,98,0,0.00%
Chelan,53,007,960501,53007960501,"October 3, 2025",29,29,30,30,30,30,31,31,32,32,30,30,30,30,30,30,30,0,0.00%
Chelan,53,007,960502,53007960502,"October 3, 2025",18,21,24,27,30,33,36,40,43,47,46,46,46,46,46,46,46,0,0.00%
Chelan,53,007,960600,53007960600,"October 3, 2025",92,88,83,82,86,92,92,100,105,110,132,132,146,153,159,159,159,27,20.45%
Chelan,53,007,960700,53007960700,"October 3, 2025",12,13,15,16,17,19,20,22,23,25,24,24,24,24,24,24,24,0,0.00%
Chelan,53,007,960801,53007960801,"October 3, 2025",0,6,11,17,23,29,35,42,48,54,56,56,56,56,56,56,56,0,0.00%
Chelan,53,007,960803,53007960803,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Chelan,53,007,960804,53007960804,"October 3, 2025",6,6,7,7,7,8,8,8,9,9,0,0,0,0,0,0,0,0,0.00%
Chelan,53,007,961001,53007961001,"October 3, 2025",331,364,366,276,318,304,289,289,284,298,195,195,177,177,181,186,230,35,17.95%
Chelan,53,007,961002,53007961002,"October 3, 2025",51,68,87,101,114,134,149,176,186,204,258,258,250,284,287,282,248,-10,-3.88%
Chelan,53,007,961101,53007961101,"October 3, 2025",66,81,113,117,116,120,126,133,160,168,187,187,166,139,151,159,164,-23,-12.30%
Chelan,53,007,961102,53007961102,"October 3, 2025",69,68,79,91,74,83,87,75,81,86,75,75,63,74,69,63,64,-11,-14.67%
Chelan,53,007,961200,53007961200,"October 3, 2025",43,52,61,69,78,88,97,108,118,128,127,127,127,127,127,127,127,0,0.00%
Chelan,53,007,961301,53007961301,"October 3, 2025",0,5,9,14,19,24,29,34,39,45,46,46,46,46,46,46,46,0,0.00%
Chelan,53,007,961303,53007961303,"October 3, 2025",19,17,15,14,12,10,8,40,43,36,36,36,27,17,42,47,49,13,36.11%
Chelan,53,007,961304,53007961304,"October 3, 2025",47,67,91,103,126,132,145,173,172,197,126,193,156,162,185,178,179,-14,-7.25%
Clallam,53,009,000300,53009000300,"October 3, 2025",92,89,84,82,79,75,72,69,66,63,60,60,60,60,59,56,56,-4,-6.67%
Clallam,53,009,000600,53009000600,"October 3, 2025",10,10,10,9,9,9,9,9,8,8,8,8,8,8,8,8,8,0,0.00%
Clallam,53,009,000700,53009000700,"October 3, 2025",158,170,183,193,203,212,186,196,205,219,234,234,282,282,282,332,340,106,45.30%
Clallam,53,009,000800,53009000800,"October 3, 2025",39,37,36,34,33,31,30,28,27,26,24,24,24,24,24,24,24,0,0.00%
Clallam,53,009,000900,53009000900,"October 3, 2025",20,22,25,27,29,32,34,36,39,42,47,47,47,47,47,47,47,0,0.00%
Clallam,53,009,001000,53009001000,"October 3, 2025",184,169,162,151,141,130,119,109,98,89,83,83,83,83,82,82,82,-1,-1.20%
Clallam,53,009,001100,53009001100,"October 3, 2025",12,12,12,13,13,13,13,13,13,14,14,14,14,14,14,14,14,0,0.00%
Clallam,53,009,001200,53009001200,"October 3, 2025",88,85,94,95,69,75,82,89,96,138,142,142,142,142,166,211,194,52,36.62%
Clallam,53,009,001300,53009001300,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Clallam,53,009,001400,53009001400,"October 3, 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
